Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Illinois,5/17/21,"149,760","149,760"
Indiana,5/17/21,"97,110","97,110"
Michigan,5/17/21,"148,590","148,590"
Minnesota,5/17/21,"81,900","81,900"
Ohio,5/17/21,"173,160","173,160"
Wisconsin,5/17/21,"86,580","86,580"
Arkansas,5/17/21,"44,460","44,460"
Louisiana,5/17/21,"69,030","69,030"
New Mexico,5/17/21,"31,590","31,590"
Oklahoma,5/17/21,"57,330","57,330"
Texas,5/17/21,"394,290","394,290"
Iowa,5/17/21,"46,800","46,800"
Kansas,5/17/21,"42,120","42,120"
Missouri,5/17/21,"90,090","90,090"
Nebraska,5/17/21,"28,080","28,080"
Colorado,5/17/21,"81,900","81,900"
Montana,5/17/21,"16,380","16,380"
North Dakota,5/17/21,"11,700","11,700"
South Dakota,5/17/21,"12,870","12,870"
Utah,5/17/21,"40,950","40,950"
Wyoming,5/17/21,"9,360","9,360"
Arizona,5/17/21,"102,960","102,960"
California,5/17/21,"575,640","575,640"
Hawaii,5/17/21,"22,230","22,230"
Nevada,5/17/21,"43,290","43,290"
American Samoa,5/17/21,0,0
Guam,5/17/21,0,0
Marshall Islands,5/17/21,0,0
Micronesia,5/17/21,0,0
Mariana Islands,5/17/21,0,0
Palau,5/17/21,0,0
Alaska,5/17/21,"16,380","16,380"
Idaho,5/17/21,"24,570","24,570"
Oregon,5/17/21,"62,010","62,010"
Washington,5/17/21,"109,980","109,980"
Federal Entities,5/17/21,"218,790","218,790"
Connecticut,5/10/21,"54,990","54,990"
Maine,5/10/21,"21,060","21,060"
Massachusetts,5/10/21,"105,300","105,300"
New Hampshire,5/10/21,"21,060","21,060"
Rhode Island,5/10/21,"16,380","16,380"
Vermont,5/10/21,"10,530","10,530"
New Jersey,5/10/21,"132,210","132,210"
New York,5/10/21,"168,480","168,480"
New York City,5/10/21,"128,700","128,700"
Puerto Rico,5/10/21,"52,650","52,650"
U.S. Virgin Islands,5/10/21,"2,340","2,340"
Delaware,5/10/21,"15,210","15,210"
District of Columbia,5/10/21,"11,700","11,700"
Maryland,5/10/21,"90,090","90,090"
Pennsylvania,5/10/21,"170,820","170,820"
Philadelphia,5/10/21,"24,570","24,570"
Virginia,5/10/21,"126,360","126,360"
West Virginia,5/10/21,"28,080","28,080"
Alabama,5/10/21,"72,540","72,540"
Florida,5/10/21,"314,730","314,730"
Georgia,5/10/21,"149,760","149,760"
Kentucky,5/10/21,"66,690","66,690"
Mississippi,5/10/21,"44,460","44,460"
North Carolina,5/10/21,"150,930","150,930"
South Carolina,5/10/21,"74,880","74,880"
Tennessee,5/10/21,"99,450","99,450"
Chicago,5/10/21,"40,950","40,950"
Illinois,5/10/21,"149,760","149,760"
Indiana,5/10/21,"97,110","97,110"
Michigan,5/10/21,"148,590","148,590"
Minnesota,5/10/21,"81,900","81,900"
Ohio,5/10/21,"173,160","173,160"
Wisconsin,5/10/21,"86,580","86,580"
Arkansas,5/10/21,"44,460","44,460"
Louisiana,5/10/21,"69,030","69,030"
New Mexico,5/10/21,"31,590","31,590"
Oklahoma,5/10/21,"57,330","57,330"
Texas,5/10/21,"394,290","394,290"
Iowa,5/10/21,"46,800","46,800"
Kansas,5/10/21,"42,120","42,120"
Missouri,5/10/21,"90,090","90,090"
Nebraska,5/10/21,"28,080","28,080"
Colorado,5/10/21,"81,900","81,900"
Montana,5/10/21,"16,380","16,380"
North Dakota,5/10/21,"11,700","11,700"
South Dakota,5/10/21,"12,870","12,870"
Utah,5/10/21,"40,950","40,950"
Wyoming,5/10/21,"9,360","9,360"
Arizona,5/10/21,"102,960","102,960"
California,5/10/21,"575,640","575,640"
Hawaii,5/10/21,"22,230","22,230"
Nevada,5/10/21,"43,290","43,290"
American Samoa,5/10/21,0,0
Guam,5/10/21,0,0
Marshall Islands,5/10/21,0,0
Micronesia,5/10/21,0,0
Mariana Islands,5/10/21,0,0
Palau,5/10/21,0,0
Alaska,5/10/21,"16,380","16,380"
Idaho,5/10/21,"24,570","24,570"
Oregon,5/10/21,"62,010","62,010"
Washington,5/10/21,"109,980","109,980"
Federal Entities,5/10/21,"218,790","218,790"
Connecticut,5/3/21,"54,990","54,990"
Maine,5/3/21,"21,060","21,060"
Massachusetts,5/3/21,"105,300","105,300"
New Hampshire,5/3/21,"21,060","21,060"
Rhode Island,5/3/21,"16,380","16,380"
Vermont,5/3/21,"10,530","10,530"
New Jersey,5/3/21,"132,210","132,210"
New York,5/3/21,"168,480","168,480"
New York City,5/3/21,"128,700","128,700"
Puerto Rico,5/3/21,"52,650","52,650"
U.S. Virgin Islands,5/3/21,"2,340","2,340"
Delaware,5/3/21,"15,210","15,210"
District of Columbia,5/3/21,"11,700","11,700"
Maryland,5/3/21,"90,090","90,090"
Pennsylvania,5/3/21,"170,820","170,820"
Philadelphia,5/3/21,"24,570","24,570"
Virginia,5/3/21,"126,360","126,360"
West Virginia,5/3/21,"28,080","28,080"
Alabama,5/3/21,"72,540","72,540"
Florida,5/3/21,"314,730","314,730"
Georgia,5/3/21,"149,760","149,760"
Kentucky,5/3/21,"66,690","66,690"
Mississippi,5/3/21,"44,460","44,460"
North Carolina,5/3/21,"150,930","150,930"
South Carolina,5/3/21,"74,880","74,880"
Tennessee,5/3/21,"99,450","99,450"
Chicago,5/3/21,"40,950","40,950"
Illinois,5/3/21,"149,760","149,760"
Indiana,5/3/21,"97,110","97,110"
Michigan,5/3/21,"148,590","148,590"
Minnesota,5/3/21,"81,900","81,900"
Ohio,5/3/21,"173,160","173,160"
Wisconsin,5/3/21,"86,580","86,580"
Arkansas,5/3/21,"44,460","44,460"
Louisiana,5/3/21,"69,030","69,030"
New Mexico,5/3/21,"31,590","31,590"
Oklahoma,5/3/21,"57,330","57,330"
Texas,5/3/21,"394,290","394,290"
Iowa,5/3/21,"46,800","46,800"
Kansas,5/3/21,"42,120","42,120"
Missouri,5/3/21,"90,090","90,090"
Nebraska,5/3/21,"28,080","28,080"
Colorado,5/3/21,"81,900","81,900"
Montana,5/3/21,"16,380","16,380"
North Dakota,5/3/21,"11,700","11,700"
South Dakota,5/3/21,"12,870","12,870"
Utah,5/3/21,"40,950","40,950"
Wyoming,5/3/21,"9,360","9,360"
Arizona,5/3/21,"102,960","102,960"
California,5/3/21,"575,640","575,640"
Hawaii,5/3/21,"22,230","22,230"
Nevada,5/3/21,"43,290","43,290"
American Samoa,5/3/21,0,0
Guam,5/3/21,0,0
Marshall Islands,5/3/21,0,0
Micronesia,5/3/21,0,0
Mariana Islands,5/3/21,0,0
Palau,5/3/21,0,0
Alaska,5/3/21,"18,720","18,720"
Idaho,5/3/21,"24,570","24,570"
Oregon,5/3/21,"62,010","62,010"
Washington,5/3/21,"109,980","109,980"
Federal Entities,5/3/21,"218,790","218,790"
Connecticut,4/26/21,"54,990","54,990"
Maine,4/26/21,"21,060","21,060"
Massachusetts,4/26/21,"105,300","105,300"
New Hampshire,4/26/21,"21,060","21,060"
Rhode Island,4/26/21,"16,380","16,380"
Vermont,4/26/21,"10,530","10,530"
New Jersey,4/26/21,"132,210","132,210"
New York,4/26/21,"168,480","168,480"
New York City,4/26/21,"128,700","128,700"
Puerto Rico,4/26/21,"52,650","52,650"
U.S. Virgin Islands,4/26/21,"2,340","2,340"
Delaware,4/26/21,"15,210","15,210"
District of Columbia,4/26/21,"11,700","11,700"
Maryland,4/26/21,"90,090","90,090"
Pennsylvania,4/26/21,"170,820","170,820"
Philadelphia,4/26/21,"24,570","24,570"
Virginia,4/26/21,"126,360","126,360"
West Virginia,4/26/21,"28,080","28,080"
Alabama,4/26/21,"72,540","72,540"
Florida,4/26/21,"314,730","314,730"
Georgia,4/26/21,"149,760","149,760"
Kentucky,4/26/21,"66,690","66,690"
Mississippi,4/26/21,"44,460","44,460"
North Carolina,4/26/21,"150,930","150,930"
South Carolina,4/26/21,"74,880","74,880"
Tennessee,4/26/21,"99,450","99,450"
Chicago,4/26/21,"40,950","40,950"
Illinois,4/26/21,"149,760","149,760"
Indiana,4/26/21,"97,110","97,110"
